option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
HZ (HZ2),120,"13, 92",–,87,76,64,53,42,2023,on
SY,120,"02, 12",–,89,78,66,55,44,2023,on
SZ,120,"02, 13",–,89,78,66,55,44,2023,on
AX,240,"02, 03, 04, 11",214,188,162,138,114,90,2024,mj
AY,240,"02, 03, 04, 12",214,188,162,138,114,90,2024,mj
BX,240,"03, 04, 87",214,188,162,138,114,90,2024,mj
BY,240,"03, 04, 88",214,188,162,138,114,90,2024,mj
BZ,240,"03, 04, 89",214,188,162,138,114,90,2024,mj
CY,240,"03, 04, 98",214,188,162,138,114,90,2024,mj
CZ,240,"03, 04, 99",214,188,162,138,114,90,2024,mj
DZ,240,"02, 03, 04, 13",214,188,162,138,114,90,2024,mj
HX,120,"11, 82/92",–,89,78,66,55,44,2024,mj
KY,240,"03, 04, 12, 82/92",214,188,162,138,114,90,2024,mj
SX,120,"02, 11",–,89,78,66,55,44,2024,mj
SY,120,"02, 12",–,89,78,66,55,44,2024,mj
SZ,120,"02, 13",–,89,78,66,55,44,2024,mj
CY,240,"03, 04, 98",198,172,146,122,98,74,2022,on
CZ,240,"03, 04, 99",198,172,146,122,98,74,2022,on
HY1,120,"12, 82",–,83,72,60,49,38,2022,on
HY2,120,"12, 92",–,80,69,57,46,35,2022,on
HZ1,120,"13, 82",–,83,72,60,49,38,2022,on
HZ2,120,"13, 92",–,80,69,57,46,35,2022,on
SX,120,"02, 11",–,83,72,60,49,38,2022,on
SY,120,"02, 12",–,83,72,60,49,38,2022,on
SZ,120,"02, 13",–,83,72,60,49,38,2022,on
AY (AY1),240,"02, 03, 04, 12",214,188,162,138,114,90,2025,on
AY (AY2),120,"02, 12",–,89,78,66,55,44,2025,on
CY,240,"03, 04, 98",214,188,162,138,114,90,2025,on
CZ,240,"03, 04, 99",214,188,162,138,114,90,2025,on
DY (DY1),240,"02, 03, 04, 12",214,188,162,138,114,90,2025,on
DY (DY2),240,"03, 04, 88",214,188,162,138,114,90,2025,on
DY (DY3),240,"03, 04, 98",214,188,162,138,114,90,2025,on
DY (DY4),120,"02, 12",–,89,78,66,55,44,2025,on
HX (HX1),120,"11, 82/92",–,89,78,66,55,44,2025,on
HX (HX2),120,"11, 92",–,89,78,66,55,44,2025,on
HY (HY1),120,"12, 82/92",–,89,78,66,55,44,2025,on
HY (HY2),120,"12, 92",–,89,78,66,55,44,2025,on
SX,120,"02, 11",–,89,78,66,55,44,2025,on
SY,120,"02, 12",–,89,78,66,55,44,2025,on
SZ,120,"02, 13",–,89,78,66,55,44,2025,on
