option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
SY,100.0,"12, 22",–,78,73,66,59,52,2025,on
SZ,100.0,"13, 23",–,80,74,67,60,54,2025,on
AX,200.0,"11, 21, 31, 41",163,150,137,121,105,90,2023,mj
AY,200.0,"12, 22, 32, 42",162,150,138,122,106,91,2023,mj
AZ,200.0,"13, 23, 33, 43",169,157,145,128,111,94,2023,mj
BX,200.0,"31, 41, 87",164,151,138,123,108,93,2023,mj
BY,200.0,"32, 42, 88",158,145,132,115,98,82,2023,mj
BZ,200.0,"33, 43, 89",162,149,136,119,102,86,2023,mj
CS,200.0,"31, 41, 99",162,148,134,119,104,89,2023,mj
CT,200.0,"32, 42, 97",161,149,137,122,107,93,2023,mj
CU,200.0,"33, 43, 98",162,149,136,120,105,90,2023,mj
CX,200.0,"31, 41, 97",161,149,137,122,107,93,2023,mj
CY,200.0,"32, 42, 98",157,146,135,120,105,91,2023,mj
P1,75.0,50,–,54,45,36,27,18,2023,mj
P2,150.0,"50, 60",126,108,90,72,54,36,2023,mj
P3,150.0,"60, 80",130,114,98,81,64,48,2023,mj
SX,100.0,"11, 21",–,78,71,64,57,50,2023,mj
SY,100.0,"12, 22",–,78,72,65,58,51,2023,mj
SZ,100.0,"13, 23",–,82,78,70,62,55,2023,mj
AX,200.0,"11, 21, 31, 41",159,146,133,117,101,86,2024,on
AY,200.0,"12, 22, 32, 42",153,140,127,113,99,85,2024,on
AZ,200.0,"13, 23, 33, 43",161,151,141,127,114,101,2024,on
BP,200.0,"33, 43, 87",160,149,138,125,112,99,2024,on
BQ,200.0,"31, 41, 88",159,144,129,112,96,80,2024,on
BR,200.0,"32, 42, 89",147,135,123,109,95,82,2024,on
BX,200.0,"31, 41, 87",157,144,131,116,102,88,2024,on
BY,200.0,"32, 42, 88",152,138,124,109,95,81,2024,on
BZ,200.0,"33, 43, 89",157,146,135,120,106,92,2024,on
CX,200.0,"31, 41, 97",160,147,134,118,103,88,2024,on
CY,200.0,"32, 42, 98",148,136,124,111,98,85,2024,on
CZ,200.0,"33, 43, 99",162,150,138,124,110,97,2024,on
EV,200.0,"32, 42, 78",157,143,129,115,101,88,2024,on
P2,150.0,"50, 60",126,108,90,72,54,36,2024,on
SX,100.0,"11, 21",–,80,74,66,59,52,2024,on
SY,100.0,"12, 22",–,80,73,65,57,50,2024,on
SZ,100.0,"13, 23",–,80,75,68,62,56,2024,on
