option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month,a* a,a* a.1
BX2,260.0,"41, 51, 87",196,174.0,152,127,102,77,2022,mj,,
BXJ,130.0,"41, 51",98,84.0,70,57,44,32,2022,mj,,
BY1,260.0,"42, 52, 85",186,164.0,142,118,94,71,2022,mj,,
BY2,260.0,"42, 52, 88",184,162.0,140,116,93,70,2022,mj,,
BYJ,130.0,"42, 52",89,74.0,59,46,33,20,2022,mj,,
BZ1,260.0,"43, 53, 86",190,170.0,150,128,106,85,2022,mj,,
CP1,260.0,"43, 53, 94",181,162.0,143,123,104,85,2022,mj,,
CQ1,260.0,"41, 51, 95",194,172.0,150,126,103,80,2022,mj,,
CQ2,260.0,"41, 51, 98",191,169.0,147,124,101,78,2022,mj,,
CQN,130.0,"41, 51",98,84.0,70,57,44,32,2022,mj,,
CR1,260.0,"42, 52, 96",181,156.0,131,109,87,66,2022,mj,,
CR2,260.0,"42, 52, 99",180,156.0,132,110,88,67,2022,mj,,
CRN,130.0,"42, 52",89,74.0,59,46,33,20,2022,mj,,
CX1,260.0,"41, 51, 94",191,170.0,149,126,104,82,2022,mj,,
CY1,260.0,"42, 52, 95",185,162.0,139,115,91,68,2022,mj,,
CY2,260.0,"42, 52, 98",182,159.0,136,112,89,66,2022,mj,,
CYN,130.0,"42, 52",89,74.0,59,46,33,20,2022,mj,,
HW,260.0,"12, 22, 34, 41, 52",187,166.0,145,122,99,77,2022,mj,,
HX,260.0,"11, 21, 32, 41, 51",200,178.0,156,131,106,82,2022,mj,,
HY,260.0,"12, 22, 34, 42, 52",178,156.0,134,111,88,65,2022,mj,,
P1,75.0,50,–,54.0,45,36,27,18,2022,mj,,
P2,150.0,"50, 60",123,105.0,87,69,51,33,2022,mj,,
P3,150.0,"60, 80",127,111.0,95,78,61,45,2022,mj,,
S1,130.0,"11, 21, 31",–,94.0,82,69,56,44,2022,mj,,
S2,130.0,"11, 21, 32",–,92.0,80,67,54,41,2022,mj,,
S3,130.0,"12, 22, 33",–,78.0,67,56,45,35,2022,mj,,
S4,130.0,"12, 22, 34",–,80.0,69,58,47,36,2022,mj,,
S5,130.0,"13, 23, 35",–,93.0,82,70,59,48,2022,mj,,
AC,260.0,"14, 24, 37, 44, 54",,,143,123,104,85,2025,mj,191,167.0
AX,260.0,"11, 21, 31, 41, 51",,,150,130,110,90,2025,mj,200,175.0
AY,260.0,"12, 22, 33, 42, 52",,,138,116,95,74,2025,mj,188,163.0
AZ,260.0,"13, 23, 35, 43, 53",,,149,129,109,90,2025,mj,201,175.0
BN1,260.0,"44, 54, 85",,,137,118,99,80,2025,mj,185,161.0
BN2,260.0,"44, 54, 88",,,141,121,102,83,2025,mj,189,165.0
BX1,260.0,"41, 51, 84",,,158,137,116,96,2025,mj,204,181.0
BX2,260.0,"41, 51, 87",,,159,138,117,96,2025,mj,205,182.0
BY1,260.0,"42, 52, 85",,,135,114,93,72,2025,mj,187,161.0
BY2,260.0,"42, 52, 88",,,139,117,96,75,2025,mj,191,165.0
BZ1,260.0,"43, 53, 86",,,151,130,109,89,2025,mj,199,175.0
CN1,260.0,"44, 54, 96",,,142,121,100,80,2025,mj,188,165.0
CN2,260.0,"44, 54, 99",,,146,125,104,83,2025,mj,190,168.0
CP1,260.0,"43, 53, 94",,,145,124,104,84,2025,mj,199,172.0
CQ1,260.0,"41, 51, 95",,,151,130,110,90,2025,mj,203,177.0
CQ2,260.0,"41, 51, 98",,,151,131,111,91,2025,mj,203,177.0
CR1,260.0,"42, 52, 96",,,140,117,94,72,2025,mj,190,165.0
CR2,260.0,"42, 52, 99",,,144,121,98,75,2025,mj,192,168.0
CX1,260.0,"41, 51, 94",,,150,130,110,91,2025,mj,202,176.0
CY1,260.0,"42, 52, 95",,,146,124,102,80,2025,mj,194,170.0
CY2,260.0,"42, 52, 98",,,146,124,102,81,2025,mj,194,170.0
CZ1,260.0,"43, 53, 96",,,140,118,96,75,2025,mj,196,168.0
CZ2,260.0,"43, 53, 99",,,144,122,100,78,2025,mj,198,171.0
HC,260.0,"14, 24, 38, 44, 54",,,145,125,106,87,2025,mj,191,168.0
HX,260.0,"11, 21, 32, 41, 51",,,151,131,111,91,2025,mj,199,175.0
HY,260.0,"12, 22, 34, 42, 52",,,140,118,97,76,2025,mj,188,164.0
P1,75.0,50,,,45,38,31,25,2025,mj,–,54.0
S1,130.0,"11, 21, 31",,,80,69,59,49,2025,mj,–,90.0
S2,130.0,"11, 21, 32",,,81,70,60,50,2025,mj,–,90.0
S3,130.0,"12, 22, 33",,,73,63,53,43,2025,mj,–,85.0
S4,130.0,"12, 22, 34",,,75,65,55,45,2025,mj,–,86.0
S5,130.0,"13, 23, 35",,,84,74,65,56,2025,mj,–,94.0
S7,130.0,"14, 24, 37",,,76,66,56,46,2025,mj,–,89.0
S8,130.0,"14, 24, 38",,,78,68,58,48,2025,mj,–,90.0
AY,260.0,"12, 22, 33, 42, 52",190,167.0,144,122,100,79,2023,fm,,
BT1,260.0,"42, 52, 84",197,174.0,151,127,104,81,2023,fm,,
BT2,260.0,"42, 52, 87",195,172.0,149,125,101,78,2023,fm,,
BY1,260.0,"42, 52, 85",180,158.0,136,114,93,72,2023,fm,,
BY2,260.0,"42, 52, 88",182,160.0,138,116,94,73,2023,fm,,
CY1,260.0,"42, 52, 95",193,167.0,141,119,97,76,2023,fm,,
CY2,260.0,"42, 52, 98",192,166.0,140,118,96,74,2023,fm,,
EV,260.0,"42, 52, 75",182,160.0,138,116,94,72,2023,fm,,
EVM,130.0,"42, 52",92,78.0,64,52,40,28,2023,fm,,
S3,130.0,"12, 22, 33",–,87.0,75,64,53,42,2023,fm,,
AY,260.0,"12, 22, 33, 42, 52",206,186.0,166,144,122,100,2025,fm,,
BY1,260.0,"42, 52, 85",199,175.0,151,130,109,89,2025,fm,,
BY2,260.0,"42, 52, 88",203,179.0,155,134,113,92,2025,fm,,
CY1,260.0,"42, 52, 95",206,184.0,162,140,118,97,2025,fm,,
CY2,260.0,"42, 52, 98",206,184.0,162,140,119,98,2025,fm,,
EV,260.0,"42, 52, 75",203,182.0,161,138,115,93,2025,fm,,
S3,130.0,"12, 22, 33",–,94.0,85,74,63,52,2025,fm,,
BX1,260.0,"41, 51, 84",208,185.0,162,139,116,93,2024,mj,,
BX2,260.0,"41, 51, 87",209,186.0,163,140,117,95,2024,mj,,
BY1,260.0,"42, 52, 85",189,166.0,143,122,101,80,2024,mj,,
BY2,260.0,"42, 52, 88",190,167.0,144,123,102,81,2024,mj,,
BZ1,260.0,"43, 53, 86",201,179.0,157,136,115,94,2024,mj,,
CP1,260.0,"43, 53, 94",200,176.0,152,131,110,89,2024,mj,,
CQ1,260.0,"41, 51, 95",200,176.0,152,132,112,92,2024,mj,,
CQ2,260.0,"41, 51, 98",202,177.0,152,132,112,92,2024,mj,,
CR1,260.0,"42, 52, 96",185,162.0,139,119,99,79,2024,mj,,
CR2,260.0,"42, 52, 99",185,162.0,139,118,97,77,2024,mj,,
CX1,260.0,"41, 51, 94",204,180.0,156,135,115,95,2024,mj,,
CY1,260.0,"42, 52, 95",188,165.0,142,121,101,81,2024,mj,,
CY2,260.0,"42, 52, 98",190,166.0,142,121,101,81,2024,mj,,
HX,260.0,"11, 21, 32, 41, 51",208,187.0,166,144,122,101,2024,mj,,
HY,260.0,"12, 22, 34, 42, 52",191,166.0,141,120,99,79,2024,mj,,
S1,130.0,"11, 21, 31",–,96.0,88,77,66,55,2024,mj,,
S2,130.0,"11, 21, 32",–,97.0,89,77,66,55,2024,mj,,
S3,130.0,"12, 22, 33",–,83.0,70,60,50,41,2024,mj,,
S4,130.0,"12, 22, 34",–,87.0,74,64,54,44,2024,mj,,
S5,130.0,"13, 23, 35",–,94.0,86,75,65,55,2024,mj,,
AZ,260.0,"13, 23, 35, 43, 53",178,159.0,140,120,100,81,2022,on,,
BS1,260.0,"41, 51, 86",191,170.0,149,128,107,86,2022,on,,
BT1,260.0,"42, 52, 84",188,165.0,142,118,94,71,2022,on,,
BT2,260.0,"42, 52, 87",186,163.0,140,116,92,68,2022,on,,
BU1,260.0,"43, 53, 85",176,155.0,134,113,93,73,2022,on,,
BU2,260.0,"43, 53, 88",178,157.0,136,115,94,74,2022,on,,
BX1,260.0,"41, 51, 84",193,171.0,149,126,104,82,2022,on,,
BY1,260.0,"42, 52, 85",171,149.0,127,105,83,62,2022,on,,
BY2,260.0,"42, 52, 88",173,151.0,129,107,85,63,2022,on,,
BZ1,260.0,"43, 53, 86",191,170.0,149,128,107,86,2022,on,,
CY1,260.0,"42, 52, 95",180,157.0,134,111,88,66,2022,on,,
CY2,260.0,"42, 52, 98",177,154.0,131,108,86,64,2022,on,,
CYN,130.0,"42, 52",83,69.0,55,42,30,18,2022,on,,
CZ1,260.0,"43, 53, 96",181,157.0,133,113,94,75,2022,on,,
CZ2,260.0,"43, 53, 99",180,157.0,134,114,95,76,2022,on,,
CZN,130.0,"43, 53",90,76.0,62,51,40,30,2022,on,,
EV,260.0,"42, 52, 75",173,151.0,129,106,84,62,2022,on,,
HY,260.0,"12, 22, 34, 42, 52",183,157.0,131,108,86,64,2022,on,,
HZ,260.0,"13, 23, 36, 43, 53",176,157.0,138,118,98,79,2022,on,,
P1,75.0,50,–,54.0,45,36,27,18,2022,on,,
S1,130.0,"11, 21, 31",–,86.0,77,66,55,45,2022,on,,
S3,130.0,"12, 22, 33",–,87.0,72,61,50,39,2022,on,,
S4,130.0,"12, 22, 34",–,86.0,71,59,48,37,2022,on,,
S5,130.0,"13, 23, 35",–,82.0,73,63,53,43,2022,on,,
S6,130.0,"13, 23, 36",–,80.0,71,61,51,41,2022,on,,
