option,combination of components,a*,a,b,c,d,e,year,month,maximum mark after weighting
P1,50,–,54,45,36,27,18,2023,mj,75.0
P2,"50, 60",126,108,90,72,54,36,2023,mj,150.0
P3,"60, 80",130,114,98,81,64,48,2023,mj,150.0
SX,"11, 21",–,76,68,58,48,39,2023,mj,120.0
SY,"12, 22",–,72,60,50,41,32,2023,mj,120.0
SZ,"13, 23",–,72,63,53,43,34,2023,mj,120.0
AX,"11, 21, 31, 41",171,160,149,129,110,91,2024,mj,240.0
AY,"12, 22, 32, 42",175,160,145,126,107,88,2024,mj,240.0
AZ,"13, 23, 33, 43",174,160,146,127,108,89,2024,mj,240.0
BX,"31, 41, 87",173,161,149,130,111,93,2024,mj,240.0
BY,"32, 42, 88",173,157,141,122,104,86,2024,mj,240.0
BZ,"33, 43, 89",170,157,144,125,106,88,2024,mj,240.0
CT,"32, 42, 97",174,161,148,128,109,90,2024,mj,240.0
CU,"33, 43, 98",173,161,149,131,113,95,2024,mj,240.0
CY,"32, 42, 98",173,161,149,131,113,95,2024,mj,240.0
P2,"50, 60",126,108,90,72,54,36,2024,mj,150.0
SX,"11, 21",–,75,68,57,47,37,2024,mj,120.0
SY,"12, 22",–,75,64,54,44,34,2024,mj,120.0
SZ,"13, 23",–,75,65,55,45,35,2024,mj,120.0
AX,"11, 21, 31, 41",179,164,149,129,109,89,2025,mj,240.0
AY,"12, 22, 32, 42",179,164,149,130,111,93,2025,mj,240.0
AZ,"13, 23, 33, 43",179,164,149,130,111,93,2025,mj,240.0
BX,"31, 41, 87",174,161,148,128,109,90,2025,mj,240.0
BY,"32, 42, 88",178,161,144,125,106,87,2025,mj,240.0
BZ,"33, 43, 89",177,161,145,126,107,88,2025,mj,240.0
CT,"32, 42, 97",179,164,149,130,112,94,2025,mj,240.0
CU,"33, 43, 98",179,164,149,130,111,93,2025,mj,240.0
CX,"31, 41, 97",179,164,149,130,112,94,2025,mj,240.0
CY,"32, 42, 98",179,164,149,130,111,93,2025,mj,240.0
SX,"11, 21",–,78,69,58,47,36,2025,mj,120.0
SY,"12, 22",–,78,69,59,49,40,2025,mj,120.0
SZ,"13, 23",–,78,69,59,49,40,2025,mj,120.0
CZ,"33, 43, 99",181,162,143,123,103,84,2022,on,240.0
EV,"32, 42, 78",179,160,141,125,109,93,2022,on,240.0
P1,50,–,51,42,33,24,15,2022,on,75.0
SX,"11, 21",–,76,68,58,48,39,2022,on,120.0
SY,"12, 22",–,72,64,55,46,37,2022,on,120.0
SZ,"13, 23",–,76,68,58,48,39,2022,on,120.0
EV,"32, 42, 78",171,157,143,126,110,94,2023,on,240.0
P1,50,–,54,45,36,27,18,2023,on,75.0
SX,"11, 21",–,76,67,56,46,36,2023,on,120.0
SY,"12, 22",–,76,68,59,50,41,2023,on,120.0
SZ,"13, 23",–,76,67,56,46,36,2023,on,120.0
AX,"11, 21, 31, 41",182,166,150,133,116,99,2024,on,240.0
AY,"12, 22, 32, 42",182,166,150,132,115,98,2024,on,240.0
BQ,"31, 41, 88",181,163,145,127,109,92,2024,on,240.0
BR,"32, 42, 89",180,163,146,128,110,93,2024,on,240.0
BY,"32, 42, 88",181,163,145,127,109,92,2024,on,240.0
CX,"31, 41, 97",180,164,148,130,112,94,2024,on,240.0
CY,"32, 42, 98",179,164,149,132,115,99,2024,on,240.0
CZ,"33, 43, 99",180,164,148,130,112,94,2024,on,240.0
EV,"32, 42, 78",179,162,145,130,115,101,2024,on,240.0
SX,"11, 21",–,78,69,59,50,41,2024,on,120.0
SY,"12, 22",–,78,69,59,49,40,2024,on,120.0
SZ,"13, 23",–,78,69,59,50,41,2024,on,120.0
AX,"11, 21, 31, 41",189,174,159,140,121,103,2025,on,240.0
AY,"12, 22, 32, 42",191,176,161,142,124,106,2025,on,240.0
AZ,"13, 23, 33, 43",189,174,159,140,121,103,2025,on,240.0
BP,"33, 43, 87",189,173,157,138,119,100,2025,on,240.0
BQ,"31, 41, 88",189,173,157,139,121,104,2025,on,240.0
BR,"32, 42, 89",190,174,158,140,122,105,2025,on,240.0
BY,"32, 42, 88",190,174,158,140,122,105,2025,on,240.0
CX,"31, 41, 97",189,173,157,139,122,105,2025,on,240.0
CY,"32, 42, 98",190,174,158,140,122,105,2025,on,240.0
CZ,"33, 43, 99",189,173,157,139,122,105,2025,on,240.0
EV,"32, 42, 78",186,172,158,142,126,110,2025,on,240.0
SX,"11, 21",–,79,71,60,49,39,2025,on,120.0
SY,"12, 22",–,80,72,61,51,41,2025,on,120.0
SZ,"13, 23",–,79,71,60,49,39,2025,on,120.0
