option,combination of components,a*,a,b,c,d,e,year,month,maximum mark after weighting
B,"03, 66",337,297,257,217,177,137,2024,mj,400.0
C,"03, 67",337,297,257,217,177,137,2024,mj,400.0
D (D1),"01, 02, 03",337,297,257,217,177,137,2024,mj,400.0
D (D2),"03, 66",337,297,257,217,177,137,2024,mj,400.0
D (D3),"03, 67",337,297,257,217,177,137,2024,mj,400.0
D (D4),"01, 02",–,147,127,107,87,67,2024,mj,200.0
K (K1),"02, 03, 81",337,297,257,217,177,137,2024,mj,400.0
K (K2),"02, 03, 91",337,297,257,217,177,137,2024,mj,400.0
K (K3),"02, 81",–,147,127,107,87,67,2024,mj,200.0
K (K4),"02, 91",–,147,127,107,87,67,2024,mj,200.0
S,"01, 02",–,147,127,107,87,67,2024,mj,200.0
A,"01, 02, 03",337,297,257,217,177,137,2025,mj,400.0
B,"03, 66",337,297,257,217,177,137,2025,mj,400.0
C,"03, 67",337,297,257,217,177,137,2025,mj,400.0
"H1, H2, K3, K4","02, 81, 91",–,147,127,107,87,67,2025,mj,200.0
"K1, K2","02, 03, 81, 91",337,297,257,217,177,137,2025,mj,400.0
S,"01, 02",–,147,127,107,87,67,2025,mj,200.0
A,"01, 02, 03",325,286,247,206,165,124,2022,on,400.0
B,"03, 66",325,286,247,206,165,124,2022,on,400.0
C,"03, 67",318,278,238,198,158,118,2022,on,400.0
CN,03,164,141,118,94,70,47,2022,on,200.0
EV,"03, 78",318,278,238,198,158,118,2022,on,400.0
H1,"02, 81",–,142,123,102,81,60,2022,on,200.0
H2,"02, 91",–,139,119,99,79,59,2022,on,200.0
K1,"02, 03, 81",325,286,247,206,165,124,2022,on,400.0
K2,"02, 03, 91",323,283,243,203,163,123,2022,on,400.0
S,"01, 02",–,142,123,102,81,60,2022,on,200.0
A,"01, 02, 03",337,297,257,217,177,137,2023,on,400.0
B,"03, 66",337,297,257,217,177,137,2023,on,400.0
C,"03, 67",331,292,253,212,171,130,2023,on,400.0
D,"01, 02, 03",337,297,257,217,177,137,2023,on,400.0
EV,"03, 78",331,291,251,211,171,131,2023,on,400.0
H1,"02, 81",–,147,127,107,87,67,2023,on,200.0
H2,"02, 91",–,144,125,104,83,62,2023,on,200.0
S,"01, 02",–,147,127,107,87,67,2023,on,200.0
A,"01, 02, 03",337,297,257,217,177,137,2024,on,400.0
B,"03, 66",337,297,257,217,177,137,2024,on,400.0
C,"03, 67",337,297,257,217,177,137,2024,on,400.0
DV5,"03, 78",337,297,257,217,177,137,2024,on,400.0
"H1, H2","02, 81/91",–,147,127,107,87,67,2024,on,200.0
"K1, K2","02, 03, 81/91",337,297,257,217,177,137,2024,on,400.0
"K3, K4","02, 81/91",–,147,127,107,87,67,2024,on,200.0
S,"01, 02",–,147,127,107,87,67,2024,on,200.0
A,"01, 02, 03",337,297,257,217,177,137,2025,on,400.0
B,"03, 66",337,297,257,217,177,137,2025,on,400.0
C,"03, 67",337,297,257,217,177,137,2025,on,400.0
DV5,"03, 78",337,297,257,217,177,137,2025,on,400.0
"H1, H2","02, 81/91",–,147,127,107,87,67,2025,on,200.0
"K1, K2","02, 03, 81/91",337,297,257,217,177,137,2025,on,400.0
"K3, K4","02, 81/91",–,147,127,107,87,67,2025,on,200.0
S,"01, 02",–,147,127,107,87,67,2025,on,200.0
