option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
CX,300,"31, 41, 97",223,188,153,123,93,63,2025,mj
CY,300,"32, 42, 98",217,183,149,119,89,60,2025,mj
P2,150,"50, 60",126,108,90,72,54,36,2025,mj
SX,150,"11, 21",–,99,86,71,56,41,2025,mj
SY,150,"12, 22",–,100,88,72,56,41,2025,mj
SZ,150,"13, 23",–,115,106,90,75,60,2025,mj
BRJ,150,"32, 42",120,99,78,62,46,31,2022,on
BX,300,"31, 41, 87",225,189,153,125,97,70,2022,on
BY,300,"32, 42, 88",219,185,151,125,99,74,2022,on
CX,300,"31, 41, 97",224,191,158,128,99,70,2022,on
CXN,150,"31, 41",121,99,77,60,43,27,2022,on
CY,300,"32, 42, 98",223,191,159,130,102,74,2022,on
CYN,150,"32, 42",120,99,78,62,46,31,2022,on
CZ,300,"33, 43, 99",224,191,158,128,99,70,2022,on
CZN,150,"33, 43",121,99,77,60,43,27,2022,on
P1,75,50,–,51,42,33,24,15,2022,on
SW,150,"12, 21",–,85,71,59,47,36,2022,on
SX,150,"11, 21",–,84,70,57,45,33,2022,on
SY,150,"12, 22",–,89,76,64,52,40,2022,on
SZ,150,"13, 23",–,89,76,63,50,38,2022,on
CY,300,"32, 42, 98",226,194,162,134,107,80,2023,on
CZ,300,"33, 43, 99",227,195,163,134,106,78,2023,on
P1,75,50,–,58,46,39,32,26,2023,on
SW,150,"12, 21",–,92,77,63,49,36,2023,on
SX,150,"11, 21",–,90,76,62,48,35,2023,on
SY,150,"12, 22",–,93,78,64,50,36,2023,on
SZ,150,"13, 23",–,90,76,62,48,35,2023,on
W1,300,"32, 42, 96",223,190,157,130,103,76,2023,on
WA,300,"12, 21, 32, 42",231,197,163,134,105,76,2023,on
2W,300,"11, 22, 32, 42",219,186,153,124,95,67,2024,on
3W,300,"11, 22, 32, 42",219,186,153,124,95,67,2024,on
AX,300,"11, 21, 31, 41",228,193,158,128,99,70,2024,on
AY,300,"12, 22, 32, 42",215,183,151,123,95,67,2024,on
AZ,300,"13, 23, 33, 43",230,194,158,130,102,74,2024,on
BP,300,"33, 43, 87",229,195,161,134,107,80,2024,on
BQ,300,"31, 41, 88",229,195,161,134,107,80,2024,on
BR,300,"32, 42, 89",222,191,160,133,106,80,2024,on
BY,300,"32, 42, 88",222,191,160,133,106,80,2024,on
BZ,300,"33, 43, 89",229,195,161,134,107,80,2024,on
CX,300,"31, 41, 97",225,191,157,129,101,74,2024,on
CY,300,"32, 42, 98",222,190,158,130,102,75,2024,on
CZ,300,"33, 43, 99",225,191,157,129,101,74,2024,on
SX,150,"11, 21",–,92,77,61,46,31,2024,on
SY,150,"12, 22",–,86,71,56,42,28,2024,on
SZ,150,"13, 23",–,93,77,63,49,35,2024,on
W1,300,"32, 42, 96",221,189,157,129,102,75,2024,on
WS,150,"11, 22",–,89,73,58,43,28,2024,on
2W,300,"11, 22, 32, 42",233,198,163,132,101,70,2025,on
AX,300,"11, 21, 31, 41",235,200,165,133,102,71,2025,on
AY,300,"12, 22, 32, 42",233,198,163,133,103,73,2025,on
AZ,300,"13, 23, 33, 43",233,198,163,133,103,73,2025,on
BQ,300,"31, 41, 88",235,205,175,143,111,80,2025,on
BR,300,"32, 42, 89",245,218,191,159,127,96,2025,on
BX,300,"31, 41, 87",235,204,173,142,111,80,2025,on
BY,300,"32, 42, 88",233,203,173,141,109,77,2025,on
BZ,300,"33, 43, 89",245,218,191,159,127,96,2025,on
CX,300,"31, 41, 97",230,197,164,132,101,70,2025,on
CY,300,"32, 42, 98",222,189,156,125,94,64,2025,on
CZ,300,"33, 43, 99",230,196,162,131,101,71,2025,on
SX,150,"11, 21",–,95,78,62,47,32,2025,on
SY,150,"12, 22",–,95,78,64,50,37,2025,on
SZ,150,"13, 23",–,95,78,64,50,37,2025,on
WC,300,"32, 42, 95",226,192,158,126,95,64,2025,on
WS,150,"11, 22",–,95,78,63,48,34,2025,on
