option,combination of components,a*,a,b,c,d,e,year,month,maximum mark after weighting
BY,"04, 32, 88",240,216,192,169,146,124,2024,on,360.0
BZ,"04, 33, 89",251,225,199,176,153,130,2024,on,360.0
CY,"04, 32, 98",246,219,192,165,139,113,2024,on,360.0
CZ,"04, 33, 99",246,219,192,165,139,113,2024,on,360.0
EV,"04, 32, 78",243,220,197,173,149,125,2024,on,360.0
SX,"02, 11",–,111,97,85,73,61,2024,on,180.0
SY,"02, 12",–,111,97,85,73,61,2024,on,180.0
SZ,"02, 13",–,111,97,85,73,61,2024,on,180.0
AY,"02, 04, 12, 32",258,229,200,171,142,113,2025,on,360.0
AZ,"02, 04, 13, 33",258,229,200,171,142,113,2025,on,360.0
BY,"04, 32, 88",256,229,202,174,146,118,2025,on,360.0
BZ,"04, 33, 89",256,228,200,172,144,116,2025,on,360.0
CY,"04, 32, 98",260,231,202,174,147,120,2025,on,360.0
CZ,"04, 33, 99",260,231,202,174,147,120,2025,on,360.0
SX,"02, 11",–,109,95,81,67,54,2025,on,180.0
SY,"02, 12",–,109,95,81,67,54,2025,on,180.0
SZ,"02, 13",–,109,95,81,67,54,2025,on,180.0
